Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
TRMB,Trimble Inc,Common stocks,Large cap,Information Technology,"$14,388,194,989 ",0.00%,29.4,3.82,3.6,Analyze
TROW,T Rowe Price Group Inc,Common stocks,Large cap,Financials,"$25,859,536,344 ",3.95%,8.86,3.35,2.8,Analyze
TRV,Travelers Companies Inc,Common stocks,Large cap,Financials,"$39,660,754,411 ",2.14%,9.98,1.12,1.54,Analyze
TSCO,Tractor Supply,Common stocks,Large cap,Consumer Discretionary,"$21,988,096,351 ",1.46%,22.03,1.7,12.35,Analyze
TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"$724,654,649,750 ",0.00%,87.75,11.65,21.62,Analyze
TSN,Tyson Foods Inc Class A,Common stocks,Large cap,Consumer Staples,"$30,121,329,920 ",2.20%,5.97,0.59,1.27,Analyze
TT,Trane Technologies plc,Common stocks,Large cap,Industrials,"$30,394,835,278 ",1.93%,20.6,2.1,4.98,Analyze
TTWO,Take Two Interactive Software Inc,Common stocks,Large cap,Communication Services,"$14,127,517,220 ",0.00%,33.56,4.03,3.68,Analyze
TWTR,Twitter Inc,Common stocks,Large cap,Communication Services,"$26,007,450,774 ",0.00%,125.35,4.96,4.75,Analyze
TXN,Texas Instrument Inc,Common stocks,Large cap,Information Technology,"$142,432,793,699 ",2.87%,17.33,7.51,10.15,Analyze
TXT,Textron Inc,Common stocks,Large cap,Industrials,"$13,096,423,172 ",0.13%,17.29,1.05,1.89,Analyze
TYL,Tyler Technologies Inc,Common stocks,Large cap,Information Technology,"$13,445,357,182 ",0.00%,80.9,7.67,5.57,Analyze
UAL,United Continental Holdings Inc,Common stocks,Large cap,Industrials,"$12,490,844,356 ",0.00%,-6.24,0.43,3.42,Analyze
UDR,"UDR, Inc",REITs,Large cap,Real Estate,"$14,273,921,716 ",3.28%,90.38,10.6,4.17,Analyze
UHS,Universal Health Services Inc.,Common stocks,Mid cap,Health Care,"$8,653,431,936 ",0.78%,7.33,0.67,1.17,Analyze
ULTA,Ulta Beauty Inc,Common stocks,Large cap,Consumer Discretionary,"$19,538,521,851 ",0.00%,20.12,2.26,12.92,Analyze
UNH,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"$482,614,236,015 ",1.16%,26.95,1.63,6.46,Analyze
UNP,Union Pacific Corp,Common stocks,Large cap,Industrials,"$129,687,194,714 ",2.27%,19.06,5.72,10.91,Analyze
UPS,United Parcel Service Inc Class B,Common stocks,Large cap,Industrials,"$155,047,428,000 ",2.80%,12.14,1.57,8.48,Analyze
URI,United Rentals Inc,Common stocks,Large cap,Industrials,"$17,973,056,529 ",0.00%,11.6,1.77,2.96,Analyze
USB,US Bancorp,Common stocks,Large cap,Financials,"$68,641,194,560 ",3.93%,9.76,3,1.32,Analyze
V,Visa Inc Class A,Common stocks,Large cap,Information Technology,"$451,423,280,000 ",0.70%,24.51,16.76,9.34,Analyze
