Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
HCA,"HCA Healthcare, Inc.",Common stocks,Large cap,Health Care,"$50,264,851,284 ",1.22%,7.35,0.84,-24.61,Analyze
HD,Home Depot Inc,Common stocks,Large cap,Consumer Discretionary,"$293,033,490,204 ",2.47%,17.87,1.92,-172.7,Analyze
HES,Hess Corp,Common stocks,Large cap,Energy,"$29,439,211,695 ",1.32%,41.24,3.73,4.73,Analyze
HIG,Hartford Financial Services Group,Common stocks,Large cap,Financials,"$21,353,180,036 ",2.31%,8.29,0.99,1.33,Analyze
HII,Huntington Ingalls Industries Inc,Common stocks,Mid cap,Industrials,"$8,497,614,307 ",2.19%,15.56,0.87,2.96,Analyze
HLT,Hilton Worldwide Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$31,351,281,562 ",0.13%,43.51,4.73,-45.51,Analyze
HOLX,Hologic Inc,Common stocks,Large cap,Health Care,"$17,626,245,263 ",0.00%,11.36,3.27,3.68,Analyze
HON,Honeywell International Inc,Common stocks,Large cap,Industrials,"$118,182,043,977 ",2.21%,22.52,3.44,6.44,Analyze
HPE,Hewlett Packard Enterprise,Common stocks,Large cap,Information Technology,"$17,047,215,570 ",4.51%,4.54,0.61,0.83,Analyze
HPQ,HP Inc,Common stocks,Large cap,Information Technology,"$32,399,549,869 ",2.98%,4.93,0.5,-13.8,Analyze
HRL,Hormel Foods Corp,Common stocks,Large cap,Consumer Staples,"$26,254,353,008 ",2.12%,28.41,2.19,3.7,Analyze
HSIC,Henry Schein Inc,Common stocks,Large cap,Health Care,"$10,522,230,528 ",0.00%,16.28,0.83,2.93,Analyze
HST,"Host Hotels & Resorts, Inc",REITs,Large cap,Real Estate,"$11,393,547,420 ",0.56%,35.94,0,1.75,Analyze
HSY,Hershey Foods,Common stocks,Large cap,Consumer Staples,"$45,818,298,460 ",1.64%,19.87,4.9,11.01,Analyze
HUM,Humana Inc,Common stocks,Large cap,Health Care,"$61,117,817,044 ",0.61%,19.74,0.71,3.91,Analyze
HWM,Howmet Aerospace Inc.,Common stocks,Large cap,Industrials,"$13,962,509,713 ",0.24%,45.17,2.74,4.01,Analyze
IBM,International Business Machines Co,Common stocks,Large cap,Information Technology,"$125,183,408,534 ",4.64%,22.35,2.33,6.48,Analyze
ICE,Intercontinental Exchange Inc,Common stocks,Large cap,Financials,"$52,108,576,349 ",1.51%,12.96,5.67,2.33,Analyze
IDXX,Idexx Laboratories Inc,Common stocks,Large cap,Health Care,"$30,449,261,673 ",0.00%,41.45,9.3,47.59,Analyze
IEX,IDEX Corp,Common stocks,Large cap,Industrials,"$13,853,541,988 ",1.21%,28.92,4.84,4.76,Analyze
IFF,International Flavors & Fragrances,Common stocks,Large cap,Materials,"$29,823,693,130 ",2.68%,52.69,2.4,1.4,Analyze
ILMN,Illumina Inc,Common stocks,Large cap,Health Care,"$29,533,229,000 ",0.00%,42.19,6.34,2.71,Analyze
INCY,Incyte Corp,Common stocks,Large cap,Health Care,"$17,813,432,985 ",0.00%,19.09,5.72,4.61,Analyze
INTC,Intel Corporation Corp,Common stocks,Large cap,Information Technology,"$152,151,690,000 ",3.79%,6.18,1.96,1.48,Analyze
INTU,Intuit Inc,Common stocks,Large cap,Information Technology,"$105,745,741,063 ",0.70%,50.11,9.26,6.98,Analyze
IP,International Paper,Common stocks,Large cap,Materials,"$15,851,816,829 ",4.32%,8.86,0.82,1.76,Analyze
IPG,Interpublic Group Of Companies Inc,Common stocks,Large cap,Communication Services,"$11,002,914,083 ",3.96%,10.76,1.04,3.15,Analyze
IQV,"IQVIA Holdings, Inc.",Common stocks,Large cap,Health Care,"$40,416,752,344 ",0.00%,37.16,2.88,6.77,Analyze
IR,Ingersoll Rand Plc,Common stocks,Large cap,Industrials,"$16,939,453,517 ",0.14%,13.61,3.16,1.84,Analyze
IRM,Iron Mountain Incorporated,REITs,Large cap,Real Estate,"$13,848,162,901 ",5.09%,30.67,2.97,18.09,Analyze
ISRG,Intuitive Surgical Inc,Common stocks,Large cap,Health Care,"$72,555,879,568 ",0.00%,35.61,12.29,6,Analyze
IT,Gartner Inc,Common stocks,Large cap,Information Technology,"$19,148,158,662 ",0.00%,23.93,3.91,162.42,Analyze
ITW,Illinois Tool Inc,Common stocks,Large cap,Industrials,"$56,950,461,128 ",2.64%,20.68,3.84,15.51,Analyze
IVZ,Invesco Ltd,Common stocks,Mid cap,Financials,"$7,234,904,496 ",4.33%,5.38,1.05,0.46,Analyze
J,Jacobs Engineering Group Inc.,Common stocks,Large cap,Industrials,"$16,087,412,409 ",0.70%,42.85,1.12,2.64,Analyze
JBHT,JB Hunt Transport Services Inc,Common stocks,Large cap,Industrials,"$17,194,957,253 ",0.85%,20.05,1.32,5.29,Analyze
JCI,Johnson Controls International Plc,Common stocks,Large cap,Industrials,"$32,724,264,821 ",2.76%,26.63,1.33,1.99,Analyze
JKHY,"Jack Henry & Associates, Inc.",Common stocks,Large cap,Information Technology,"$13,436,882,143 ",1.03%,37.39,7.03,10.11,Analyze
JNJ,Johnson & Johnson,Common stocks,Large cap,Health Care,"$462,732,007,233 ",2.43%,23.28,4.88,6.18,Analyze
JNPR,Juniper Networks Inc,Common stocks,Mid cap,Information Technology,"$9,166,217,690 ",2.88%,26.63,1.9,2.12,Analyze
JPM,JP Morgan Chase & Co,Common stocks,Large cap,Financials,"$331,798,591,144 ",3.52%,8.12,2.76,1.15,Analyze
K,Kellogg,Common stocks,Large cap,Consumer Staples,"$24,661,319,833 ",3.16%,16.19,1.73,6.58,Analyze
KDP,Keurig Dr Pepper Inc.,Common stocks,Large cap,Consumer Staples,"$51,493,250,002 ",2.05%,21.4,4,2.02,Analyze
KEY,Keycorp,Common stocks,Large cap,Financials,"$16,141,070,742 ",4.39%,6.76,2.31,1.03,Analyze
KEYS,Keysight Technologies Inc,Common stocks,Large cap,Information Technology,"$25,368,774,956 ",0.00%,24.91,4.93,6.74,Analyze
KHC,Kraft Heinz,Common stocks,Large cap,Consumer Staples,"$47,489,335,233 ",4.06%,38.77,1.85,0.96,Analyze
KIM,Kimco Realty Corporation,REITs,Large cap,Real Estate,"$12,477,557,575 ",3.57%,13.4,8.27,1.23,Analyze
KLAC,KLA-Tencor Corporation,Common stocks,Large cap,Information Technology,"$46,826,973,675 ",1.33%,14.87,5.41,11.48,Analyze
KMB,Kimberly Clark Corp,Common stocks,Large cap,Consumer Staples,"$45,579,280,693 ",3.36%,26.15,2.3,65.02,Analyze
KMI,Kinder Morgan Inc,Common stocks,Large cap,Energy,"$37,753,417,541 ",6.39%,36.12,2.41,1.23,Analyze
KMX,Carmax Inc,Common stocks,Large cap,Consumer Discretionary,"$14,522,305,110 ",0.00%,12.53,0.46,2.75,Analyze
KO,Coca-Cola,Common stocks,Large cap,Consumer Staples,"$271,676,250,321 ",2.71%,26.24,6.77,10.88,Analyze
KR,Kroger,Common stocks,Large cap,Consumer Staples,"$34,060,674,136 ",1.75%,31.51,0,3.63,Analyze
L,Loews Corp,Common stocks,Large cap,Financials,"$14,207,817,438 ",0.43%,8.52,1.05,0.85,Analyze
LDOS,Leidos Holdings Inc,Common stocks,Large cap,Industrials,"$13,640,243,602 ",1.43%,36.17,0,3.42,Analyze
LEN,Lennar Corporation Class A,Common stocks,Large cap,Consumer Discretionary,"$22,261,193,164 ",1.75%,5.11,0.79,0.97,Analyze
LH,Laboratory Corporation Of America,Common stocks,Large cap,Health Care,"$22,239,657,000 ",0.30%,10.61,1.4,2.08,Analyze
LHX,"L3Harris Technologies, Inc.",Common stocks,Large cap,Industrials,"$44,783,558,714 ",1.83%,23.63,2.58,2.27,Analyze
LIN,Linde Plc,Common stocks,Large cap,Materials,"$137,515,316,079 ",1.62%,34.36,4.33,3.21,Analyze
LKQ,LKQ Corp,Common stocks,Large cap,Consumer Discretionary,"$14,280,235,040 ",1.49%,13.01,1.08,2.47,Analyze
LLY,Eli Lilly,Common stocks,Large cap,Health Care,"$307,462,131,697 ",1.13%,49.99,10.49,32.84,Analyze
LMT,Lockheed Martin Corp,Common stocks,Large cap,Industrials,"$110,165,626,166 ",2.64%,17.48,1.68,10.86,Analyze
LNC,Lincoln National Corp,Common stocks,Mid cap,Financials,"$8,219,059,956 ",3.66%,6.27,0.43,0.55,Analyze
LNT,Alliant Energy Corp,Common stocks,Large cap,Utilities,"$14,501,414,485 ",2.84%,21.33,3.78,2.39,Analyze
LOW,Lowes Companies Inc,Common stocks,Large cap,Consumer Discretionary,"$115,682,318,230 ",1.76%,13.84,1.21,-16.95,Analyze
LRCX,Lam Research Corp,Common stocks,Large cap,Information Technology,"$56,300,268,008 ",1.47%,12.4,3.36,9.34,Analyze
LUMN,"CenturyLink, Inc.",Common stocks,Large cap,Communication Services,"$11,208,650,472 ",8.97%,5.16,0.58,0.91,Analyze
LUV,Southwest Airlines,Common stocks,Large cap,Industrials,"$22,852,541,121 ",0.00%,39.4,1.24,2.21,Analyze
LVS,Las Vegas Sands Corp,Common stocks,Large cap,Consumer Discretionary,"$25,406,629,670 ",0.00%,13.75,6.38,5.61,Analyze
LW,Lamb Weston Holdings Inc,Common stocks,Large cap,Consumer Staples,"$10,713,625,460 ",1.29%,45.1,2.71,26.95,Analyze
LYB,Lyondellbasell Industries NV,Common stocks,Large cap,Materials,"$28,152,542,735 ",5.26%,4.73,0.56,2.18,Analyze
LYV,Live Nation Entertainment Inc,Common stocks,Large cap,Communication Services,"$18,719,482,614 ",0.00%,-42.34,2.41,-36.67,Analyze
MA,Mastercard Inc Class A,Common stocks,Large cap,Information Technology,"$311,534,342,080 ",0.59%,32.88,15.66,44.36,Analyze
MAA,"Mid-America Apartment Communities, Inc",REITs,Large cap,Real Estate,"$19,576,521,978 ",2.47%,32.84,10.7,3.29,Analyze
MAR,Marriott International Inc,Common stocks,Large cap,Consumer Discretionary,"$45,533,751,460 ",0.22%,30.62,2.89,25.7,Analyze
MAS,Masco Corp,Common stocks,Large cap,Industrials,"$12,460,014,636 ",1.94%,22.85,1.45,-33.82,Analyze
MCD,Mcdonalds Corp,Common stocks,Large cap,Consumer Discretionary,"$185,981,261,956 ",2.14%,26.27,7.83,-31.19,Analyze
MCHP,Microchip Technology Inc,Common stocks,Large cap,Information Technology,"$32,826,476,960 ",2.02%,25.54,4.81,5.57,Analyze
MCK,Mckesson Corp,Common stocks,Large cap,Health Care,"$47,005,501,619 ",0.57%,41.91,0.18,-20.55,Analyze
MCO,Moodys Corp,Common stocks,Large cap,Financials,"$50,820,525,000 ",0.96%,25.74,8.28,21.25,Analyze
MDLZ,Mondelez International Inc,Common stocks,Large cap,Consumer Staples,"$86,578,262,418 ",2.22%,20.64,2.96,3.07,Analyze
MDT,Medtronic Plc,Common stocks,Large cap,Health Care,"$118,981,109,697 ",2.87%,24,3.74,2.24,Analyze
MET,Metlife Inc,Common stocks,Large cap,Financials,"$50,247,994,168 ",3.11%,7.31,0.76,0.9,Analyze
META,"Meta Platforms, Inc.",Common stocks,Large cap,Communication Services,"$465,972,600,899 ",0.00%,0,0,0,Analyze
MGM,MGM Resorts International,Common stocks,Large cap,Consumer Discretionary,"$12,317,170,837 ",0.03%,8.08,1.13,2.44,Analyze
MHK,Mohawk Industries Inc,Common stocks,Mid cap,Consumer Discretionary,"$8,100,006,281 ",0.00%,7.68,0.7,0.97,Analyze
MKC,McCormick & Co  Non-voting,Common stocks,Large cap,Consumer Staples,"$21,941,292,718 ",1.75%,27.82,3.45,4.53,Analyze
MKTX,Marketaxess Holdings Inc,Common stocks,Mid cap,Financials,"$9,612,607,974 ",1.06%,39.69,13.94,9.39,Analyze
MLM,Martin Marietta Materials Inc,Common stocks,Large cap,Materials,"$19,556,568,159 ",0.78%,29.33,3.45,3,Analyze
